{'epoch': 25, 'loss': '1.33563113', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.007, 'AdvAcc': 0.784, 'RAvAcc': 0.011, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 26, 'loss': '1.15309691', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.782, 'RAvAcc': 0.025, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 27, 'loss': '1.07567859', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.027, 'AdvAcc': 0.782, 'RAvAcc': 0.023, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 28, 'loss': '1.07322454', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.036, 'AdvAcc': 0.782, 'RAvAcc': 0.03, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 29, 'loss': '1.04108369', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.03, 'AdvAcc': 0.784, 'RAvAcc': 0.03, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 30, 'loss': '1.02565980', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.032, 'AdvAcc': 0.782, 'RAvAcc': 0.03, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 31, 'loss': '1.07682180', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.032, 'AdvAcc': 0.777, 'RAvAcc': 0.034, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 32, 'loss': '1.01368916', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.018, 'AdvAcc': 0.793, 'RAvAcc': 0.034, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 33, 'loss': '0.98782563', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.032, 'AdvAcc': 0.782, 'RAvAcc': 0.027, 'classifier': 'ModelB_PV220', 'best_acc': 0.036}
{'epoch': 34, 'loss': '1.00033283', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.048, 'AdvAcc': 0.782, 'RAvAcc': 0.041, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
{'epoch': 35, 'loss': '0.97987324', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.03, 'AdvAcc': 0.782, 'RAvAcc': 0.02, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
{'epoch': 36, 'loss': '0.96456158', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.027, 'AdvAcc': 0.782, 'RAvAcc': 0.032, 'classifier': 'ModelB_PV220', 'best_acc': 0.041}
