{'epoch': 29, 'loss': '0.03489616', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.018, 'AdvAcc': 0.316, 'RAvAcc': 0.016, 'best_acc': 0.018}
{'epoch': 30, 'loss': '0.02751661', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.018}
{'epoch': 31, 'loss': '0.02348664', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.018}
{'epoch': 32, 'loss': '0.02176875', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.018}
{'epoch': 33, 'loss': '0.01987952', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.025, 'AdvAcc': 0.316, 'RAvAcc': 0.025, 'best_acc': 0.025}
{'epoch': 34, 'loss': '0.01824043', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.027, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.025}
{'epoch': 35, 'loss': '0.01785241', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.025}
{'epoch': 36, 'loss': '0.01735044', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.025}
{'epoch': 37, 'loss': '0.01713088', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.025}
{'epoch': 38, 'loss': '0.01700263', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.025}
{'epoch': 39, 'loss': '0.01677765', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.023, 'AdvAcc': 0.316, 'RAvAcc': 0.023, 'best_acc': 0.025}
{'epoch': 40, 'loss': '0.01659397', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.025}
{'epoch': 41, 'loss': '0.01662143', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.018, 'AdvAcc': 0.316, 'RAvAcc': 0.018, 'best_acc': 0.025}
{'epoch': 42, 'loss': '0.01660894', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.02, 'AdvAcc': 0.316, 'RAvAcc': 0.02, 'best_acc': 0.025}
{'epoch': 43, 'loss': '0.01827629', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.016, 'AdvAcc': 0.316, 'RAvAcc': 0.016, 'best_acc': 0.025}
{'epoch': 44, 'loss': '0.01936509', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.018, 'AdvAcc': 0.316, 'RAvAcc': 0.018, 'best_acc': 0.025}
{'epoch': 45, 'loss': '0.01701736', 'attacktype': 'FGSM', 'eps': 0.1, 'NorAcc': 0.991, 'RecAcc': 0.014, 'AdvAcc': 0.316, 'RAvAcc': 0.014, 'best_acc': 0.025}
