{'epoch': 25, 'loss': '0.99598992', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.557, 'AdvAcc': 0.514, 'RAvAcc': 0.56, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.583}
{'epoch': 26, 'loss': '0.90388501', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.592, 'AdvAcc': 0.514, 'RAvAcc': 0.59, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.59}
{'epoch': 27, 'loss': '0.92092365', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.607, 'AdvAcc': 0.517, 'RAvAcc': 0.608, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.608}
{'epoch': 28, 'loss': '0.82299846', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.635, 'AdvAcc': 0.515, 'RAvAcc': 0.637, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.637}
{'epoch': 29, 'loss': '0.76970965', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.973, 'RecAcc': 0.629, 'AdvAcc': 0.514, 'RAvAcc': 0.625, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.637}
{'epoch': 30, 'loss': '0.65095747', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.663, 'AdvAcc': 0.52, 'RAvAcc': 0.661, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.661}
{'epoch': 31, 'loss': '0.60057324', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.631, 'AdvAcc': 0.514, 'RAvAcc': 0.627, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.661}
{'epoch': 32, 'loss': '0.55845416', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.659, 'AdvAcc': 0.515, 'RAvAcc': 0.66, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.661}
{'epoch': 33, 'loss': '0.49704027', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.678, 'AdvAcc': 0.514, 'RAvAcc': 0.688, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.688}
{'epoch': 34, 'loss': '0.46489444', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.97, 'RecAcc': 0.688, 'AdvAcc': 0.518, 'RAvAcc': 0.695, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.695}
{'epoch': 35, 'loss': '0.43926507', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.724, 'AdvAcc': 0.522, 'RAvAcc': 0.719, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.719}
{'epoch': 36, 'loss': '0.41575631', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.728, 'AdvAcc': 0.515, 'RAvAcc': 0.727, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.727}
{'epoch': 37, 'loss': '0.39274719', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.971, 'RecAcc': 0.761, 'AdvAcc': 0.52, 'RAvAcc': 0.76, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.76}
{'epoch': 38, 'loss': '0.35748237', 'attacktype': 'PGD', 'eps': 0.03, 'NorAcc': 0.972, 'RecAcc': 0.776, 'AdvAcc': 0.519, 'RAvAcc': 0.769, 'classifier': 'LightweightFVCNN_FV500', 'best_acc': 0.769}
