{'epoch': 25, 'loss': '0.32880110', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.164, 'AdvAcc': 0.784, 'RAvAcc': 0.159, 'classifier': 'ModelB_PV220', 'best_acc': 0.159}
{'epoch': 26, 'loss': '0.33716825', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.116, 'AdvAcc': 0.786, 'RAvAcc': 0.105, 'classifier': 'ModelB_PV220', 'best_acc': 0.159}
{'epoch': 27, 'loss': '0.70249015', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.125, 'AdvAcc': 0.782, 'RAvAcc': 0.116, 'classifier': 'ModelB_PV220', 'best_acc': 0.159}
{'epoch': 28, 'loss': '0.39093027', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.15, 'AdvAcc': 0.78, 'RAvAcc': 0.155, 'classifier': 'ModelB_PV220', 'best_acc': 0.159}
{'epoch': 29, 'loss': '0.26611128', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.195, 'AdvAcc': 0.775, 'RAvAcc': 0.191, 'classifier': 'ModelB_PV220', 'best_acc': 0.191}
{'epoch': 30, 'loss': '0.17931953', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.191, 'AdvAcc': 0.784, 'RAvAcc': 0.191, 'classifier': 'ModelB_PV220', 'best_acc': 0.191}
{'epoch': 31, 'loss': '0.14797956', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.236, 'AdvAcc': 0.793, 'RAvAcc': 0.239, 'classifier': 'ModelB_PV220', 'best_acc': 0.239}
{'epoch': 32, 'loss': '0.12265619', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.248, 'AdvAcc': 0.77, 'RAvAcc': 0.25, 'classifier': 'ModelB_PV220', 'best_acc': 0.25}
{'epoch': 33, 'loss': '0.10307798', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.273, 'AdvAcc': 0.782, 'RAvAcc': 0.266, 'classifier': 'ModelB_PV220', 'best_acc': 0.266}
{'epoch': 34, 'loss': '0.09040275', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.284, 'AdvAcc': 0.791, 'RAvAcc': 0.28, 'classifier': 'ModelB_PV220', 'best_acc': 0.28}
{'epoch': 35, 'loss': '0.08683603', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.982, 'RecAcc': 0.28, 'AdvAcc': 0.784, 'RAvAcc': 0.289, 'classifier': 'ModelB_PV220', 'best_acc': 0.289}
{'epoch': 36, 'loss': '0.07635701', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.318, 'AdvAcc': 0.777, 'RAvAcc': 0.293, 'classifier': 'ModelB_PV220', 'best_acc': 0.293}
{'epoch': 37, 'loss': '0.07409967', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.309, 'AdvAcc': 0.78, 'RAvAcc': 0.28, 'classifier': 'ModelB_PV220', 'best_acc': 0.293}
{'epoch': 38, 'loss': '0.06732980', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.368, 'AdvAcc': 0.78, 'RAvAcc': 0.359, 'classifier': 'ModelB_PV220', 'best_acc': 0.359}
{'epoch': 39, 'loss': '0.06450019', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.327, 'AdvAcc': 0.784, 'RAvAcc': 0.325, 'classifier': 'ModelB_PV220', 'best_acc': 0.359}
{'epoch': 40, 'loss': '0.05934783', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.336, 'AdvAcc': 0.773, 'RAvAcc': 0.332, 'classifier': 'ModelB_PV220', 'best_acc': 0.359}
{'epoch': 41, 'loss': '0.05765017', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.345, 'AdvAcc': 0.777, 'RAvAcc': 0.352, 'classifier': 'ModelB_PV220', 'best_acc': 0.359}
{'epoch': 42, 'loss': '0.05379951', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.352, 'AdvAcc': 0.782, 'RAvAcc': 0.345, 'classifier': 'ModelB_PV220', 'best_acc': 0.359}
{'epoch': 43, 'loss': '0.05094272', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.357, 'AdvAcc': 0.791, 'RAvAcc': 0.355, 'classifier': 'ModelB_PV220', 'best_acc': 0.359}
{'epoch': 44, 'loss': '0.04681680', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.382, 'AdvAcc': 0.789, 'RAvAcc': 0.395, 'classifier': 'ModelB_PV220', 'best_acc': 0.395}
{'epoch': 45, 'loss': '0.04328678', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.391, 'AdvAcc': 0.777, 'RAvAcc': 0.411, 'classifier': 'ModelB_PV220', 'best_acc': 0.411}
{'epoch': 46, 'loss': '0.04424420', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.377, 'AdvAcc': 0.777, 'RAvAcc': 0.418, 'classifier': 'ModelB_PV220', 'best_acc': 0.418}
{'epoch': 47, 'loss': '0.03821177', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.436, 'AdvAcc': 0.789, 'RAvAcc': 0.42, 'classifier': 'ModelB_PV220', 'best_acc': 0.42}
{'epoch': 48, 'loss': '0.03241774', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.43, 'AdvAcc': 0.786, 'RAvAcc': 0.42, 'classifier': 'ModelB_PV220', 'best_acc': 0.42}
{'epoch': 49, 'loss': '0.03005139', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.432, 'AdvAcc': 0.768, 'RAvAcc': 0.464, 'classifier': 'ModelB_PV220', 'best_acc': 0.464}
{'epoch': 50, 'loss': '0.02786263', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.473, 'AdvAcc': 0.784, 'RAvAcc': 0.477, 'classifier': 'ModelB_PV220', 'best_acc': 0.477}
{'epoch': 51, 'loss': '0.02629349', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.495, 'AdvAcc': 0.78, 'RAvAcc': 0.486, 'classifier': 'ModelB_PV220', 'best_acc': 0.486}
{'epoch': 52, 'loss': '0.02606508', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.564, 'AdvAcc': 0.789, 'RAvAcc': 0.52, 'classifier': 'ModelB_PV220', 'best_acc': 0.52}
{'epoch': 53, 'loss': '0.02813212', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.55, 'AdvAcc': 0.786, 'RAvAcc': 0.559, 'classifier': 'ModelB_PV220', 'best_acc': 0.559}
{'epoch': 54, 'loss': '0.02719236', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.541, 'AdvAcc': 0.782, 'RAvAcc': 0.539, 'classifier': 'ModelB_PV220', 'best_acc': 0.559}
{'epoch': 55, 'loss': '0.02573902', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.55, 'AdvAcc': 0.78, 'RAvAcc': 0.584, 'classifier': 'ModelB_PV220', 'best_acc': 0.584}
{'epoch': 56, 'loss': '0.02489913', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.991, 'RecAcc': 0.591, 'AdvAcc': 0.784, 'RAvAcc': 0.589, 'classifier': 'ModelB_PV220', 'best_acc': 0.589}
{'epoch': 57, 'loss': '0.02301062', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.586, 'AdvAcc': 0.789, 'RAvAcc': 0.57, 'classifier': 'ModelB_PV220', 'best_acc': 0.589}
{'epoch': 58, 'loss': '0.02251613', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.573, 'AdvAcc': 0.782, 'RAvAcc': 0.575, 'classifier': 'ModelB_PV220', 'best_acc': 0.589}
{'epoch': 59, 'loss': '0.02246527', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.57, 'AdvAcc': 0.775, 'RAvAcc': 0.582, 'classifier': 'ModelB_PV220', 'best_acc': 0.589}
{'epoch': 60, 'loss': '0.02218098', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.598, 'AdvAcc': 0.78, 'RAvAcc': 0.584, 'classifier': 'ModelB_PV220', 'best_acc': 0.589}
{'epoch': 61, 'loss': '0.02156842', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.6, 'AdvAcc': 0.782, 'RAvAcc': 0.6, 'classifier': 'ModelB_PV220', 'best_acc': 0.6}
{'epoch': 62, 'loss': '0.02060184', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.989, 'RecAcc': 0.623, 'AdvAcc': 0.782, 'RAvAcc': 0.63, 'classifier': 'ModelB_PV220', 'best_acc': 0.63}
{'epoch': 63, 'loss': '0.02039585', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.589, 'AdvAcc': 0.78, 'RAvAcc': 0.611, 'classifier': 'ModelB_PV220', 'best_acc': 0.63}
{'epoch': 64, 'loss': '0.01958387', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.986, 'RecAcc': 0.62, 'AdvAcc': 0.773, 'RAvAcc': 0.645, 'classifier': 'ModelB_PV220', 'best_acc': 0.645}
{'epoch': 65, 'loss': '0.01906059', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.984, 'RecAcc': 0.607, 'AdvAcc': 0.773, 'RAvAcc': 0.609, 'classifier': 'ModelB_PV220', 'best_acc': 0.645}
{'epoch': 66, 'loss': '0.01838477', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.993, 'RecAcc': 0.661, 'AdvAcc': 0.784, 'RAvAcc': 0.666, 'classifier': 'ModelB_PV220', 'best_acc': 0.666}
{'epoch': 67, 'loss': '0.01819149', 'attacktype': 'FGSM', 'eps': 0.03, 'NorAcc': 0.993, 'RecAcc': 0.661, 'AdvAcc': 0.782, 'RAvAcc': 0.684, 'classifier': 'ModelB_PV220', 'best_acc': 0.684}
